"x","y","observed","predicted","residual"
-5.4625,35.9125,25.7003009608201,29.465142500775,-3.76484153995487
-5.45416666666667,35.9125,25.8003013422899,29.5302238126659,-3.72992247037609
-5.42083333333333,35.9125,25.6003005793504,29.5476846524416,-3.94738407309116
-5.40416666666667,35.9125,25.7003009608201,29.3318051788521,-3.63150421803196
-5.47916666666667,35.9041666666667,25.6003005793504,29.5302238126659,-3.92992323331554
-5.47083333333333,35.9041666666667,25.7003009608201,29.4000611888841,-3.69976022806393
-5.4625,35.9041666666667,25.9002998164109,29.1254497996857,-3.22514998327473
-5.45416666666667,35.9041666666667,25.9002998164109,29.3397419242046,-3.4394421077937
-5.44583333333333,35.9041666666667,25.9002998164109,29.5318111617364,-3.6315113453255
-5.4375,35.9041666666667,25.9002998164109,29.3318051788521,-3.43150536244114
-5.42916666666667,35.9041666666667,25.8003013422899,29.393711792602,-3.59341045031216
-5.42083333333333,35.9041666666667,25.8003013422899,29.1444979885318,-3.34419664624196
-5.4125,35.9041666666667,25.7003009608201,28.9603654963526,-3.26006453553243
-5.40416666666667,35.9041666666667,25.9002998164109,29.101639563628,-3.20133974721707
-5.39583333333333,35.9041666666667,26.0003001978807,29.2968834993008,-3.29658330142017
-5.3875,35.9041666666667,26.1003005793504,29.3778383018969,-3.2775377225465
-5.47916666666667,35.8958333333333,25.8003013422899,29.461967802634,-3.66166646034412
-5.47083333333333,35.8958333333333,25.9002998164109,29.3333925279226,-3.43309271151165
-5.4625,35.8958333333333,26.0003001978807,29.1175130543331,-3.11721285645245
-5.45416666666667,35.8958333333333,26.0003001978807,29.3413292732752,-3.34102907539448
-5.44583333333333,35.8958333333333,26.0003001978807,29.4445069628584,-3.44420676497768
-5.4375,35.8958333333333,26.0003001978807,29.2254527911279,-3.22515259324719
-5.42916666666667,35.8958333333333,25.9002998164109,29.0016365721858,-3.10133675577489
-5.42083333333333,35.8958333333333,25.8003013422899,28.731787230199,-2.93148588790914
-5.4125,35.8958333333333,25.6003005793504,28.5032089640454,-2.90290838469504
-5.40416666666667,35.8958333333333,25.9002998164109,28.7032149469298,-2.80291513051885
-5.39583333333333,35.8958333333333,26.1003005793504,29.020684761032,-2.92038418168157
-5.3875,35.8958333333333,26.3003013422899,28.9619528454231,-2.66165150313321
-5.4875,35.8875,25.9002998164109,29.4984768312557,-3.59817701484478
-5.47916666666667,35.8875,25.9002998164109,29.468317198916,-3.56801738250507
-5.47083333333333,35.8875,26.0003001978807,29.3175190372175,-3.31721883933682
-5.4625,35.8875,26.0003001978807,29.1143383561921,-3.11403815831143
-5.45416666666667,35.8875,26.1003005793504,29.4238714249417,-3.32357084559132
-5.44583333333333,35.8875,26.0003001978807,29.4635551517045,-3.46325495382381
-5.4375,35.8875,26.0003001978807,29.3651395093328,-3.36483931145214
-5.42916666666667,35.8875,26.0003001978807,29.2238654420574,-3.22356524417668
-5.42083333333333,35.8875,26.0003001978807,29.0349709026666,-3.03467070478589
-5.4125,35.8875,25.8003013422899,28.5968625592056,-2.79656121691572
-5.40416666666667,35.8875,26.0003001978807,28.7555974662567,-2.75529726837599
-5.39583333333333,35.8875,26.3003013422899,29.0825913747819,-2.78229003249204
-5.3875,35.8875,26.4002998164109,29.1571967810959,-2.75689696468495
-5.37916666666667,35.8875,26.5003001978807,29.2905341030188,-2.79023390513813
-5.50416666666667,35.8791666666667,26.0003001978807,29.4349828684353,-3.43468267055462
-5.49583333333333,35.8791666666667,26.0003001978807,29.5206997182429,-3.5203995203622
-5.4875,35.8791666666667,26.0003001978807,29.4937147840442,-3.49341458616352
-5.47916666666667,35.8791666666667,26.1003005793504,29.3302178297816,-3.22991725043118
-5.47083333333333,35.8791666666667,26.1003005793504,29.2381515836919,-3.13785100434155
-5.4625,35.8791666666667,26.1003005793504,29.0381456008076,-2.93784502145719
-5.45416666666667,35.8791666666667,26.2003009608201,29.3667268584033,-3.1664258975832
-5.44583333333333,35.8791666666667,26.1003005793504,29.3794256509674,-3.27912507161701
-5.4375,35.8791666666667,26.1003005793504,29.3476786695572,-3.2473780902068
-5.42916666666667,35.8791666666667,26.1003005793504,29.2064046022817,-3.10610402293133
-5.42083333333333,35.8791666666667,26.1003005793504,28.9619528454231,-2.86165226607267
-5.4125,35.8791666666667,26.1003005793504,28.8921094863206,-2.79180890697019
-5.40416666666667,35.8791666666667,26.2003009608201,28.8397269669937,-2.63942600617361
-5.39583333333333,35.8791666666667,26.4002998164109,28.958778147282,-2.5584783308711
-5.3875,35.8791666666667,26.5003001978807,29.2238654420574,-2.72356524417668
-5.37916666666667,35.8791666666667,26.6003005793504,29.3000581974419,-2.69975761809147
-5.37083333333333,35.8791666666667,26.8003013422899,29.2810100085957,-2.48070866630589
-5.3625,35.8791666666667,26.7003009608201,29.3429166223457,-2.64261566152554
-5.52083333333333,35.8708333333333,26.1003005793504,29.5349858598775,-3.43468528052707
-5.5125,35.8708333333333,26.1003005793504,29.3635521602623,-3.26325158091191
-5.50416666666667,35.8708333333333,26.2003009608201,29.3508533676982,-3.15055240687809
-5.49583333333333,35.8708333333333,26.2003009608201,29.4349828684353,-3.23468190761517
-5.4875,35.8708333333333,26.2003009608201,29.3952991416725,-3.19499818085239
-5.47916666666667,35.8708333333333,26.2003009608201,29.4222840758712,-3.22198311505108
-5.47083333333333,35.8708333333333,26.2003009608201,29.3619648111918,-3.16166385037167
-5.4625,35.8708333333333,26.2003009608201,29.3016455465124,-3.10134458569226
-5.45416666666667,35.8708333333333,26.2003009608201,29.2079919513522,-3.00769099053212
-5.44583333333333,35.8708333333333,26.2003009608201,29.0476696952306,-2.84736873441052
-5.4375,35.8708333333333,26.2003009608201,29.2794226595252,-3.07912169870511
-5.42916666666667,35.8708333333333,26.2003009608201,29.2905341030188,-3.09023314219868
-5.42083333333333,35.8708333333333,26.2003009608201,29.1571967810959,-2.95689582027577
-5.4125,35.8708333333333,26.2003009608201,29.173070271801,-2.97276931098088
-5.40416666666667,35.8708333333333,26.4002998164109,28.9968745249743,-2.59657470856336
-5.39583333333333,35.8708333333333,26.5003001978807,28.9968745249743,-2.49657432709363
-5.3875,35.8708333333333,26.7003009608201,29.095290167346,-2.39498920652585
-5.37916666666667,35.8708333333333,26.8003013422899,29.2206907439163,-2.42038940162648
-5.37083333333333,35.8708333333333,26.9002998164109,29.3206937353585,-2.42039391894756
-5.3625,35.8708333333333,26.8003013422899,29.3460913204867,-2.54578997819683
-5.35416666666667,35.8708333333333,26.5003001978807,29.4381575665763,-2.93785736869564
-5.34583333333333,35.8708333333333,26.3003013422899,29.5127629728903,-3.21246163060047
-5.52916666666667,35.8625,26.2003009608201,29.4032358870251,-3.20293492620495
-5.52083333333333,35.8625,26.2003009608201,29.3619648111918,-3.16166385037167
-5.5125,35.8625,26.3003013422899,29.319106386288,-3.01880504399815
-5.50416666666667,35.8625,26.4002998164109,29.1571967810959,-2.75689696468495
