"x","y","lst","local_g","cluster"
-5.8375,35.7875,26.8141898073235,-2.87554694296438,"Cold Spot (LL)"
-5.8125,35.7875,27.0743743425973,-2.55879482496757,"Cold Spot (LL)"
-5.7875,35.7875,27.4086341352077,-2.41558820183107,"Cold Spot (LL)"
-5.7625,35.7875,27.0188190696119,-2.45892738976938,"Cold Spot (LL)"
-5.7375,35.7875,27.2003005369649,-2.89747305462535,"Cold Spot (LL)"
-5.7125,35.7875,27.3447451085659,-2.68463962804379,"Cold Spot (LL)"
-5.6875,35.7875,27.4558560077494,-2.41895686693615,"Cold Spot (LL)"
-5.6625,35.7875,27.6225228863437,-2.17477963129287,"Cold Spot (LL)"
-5.6375,35.7875,27.7669674579447,-2.00211369245503,"Cold Spot (LL)"
-5.6125,35.7875,27.7669674579447,-1.9651547934831,"Cold Spot (LL)"
-5.5875,35.7875,27.6780786538269,-2.07861022053712,"Cold Spot (LL)"
-5.5625,35.7875,27.5336336583706,-2.27099962536579,"Cold Spot (LL)"
-5.5375,35.7875,27.4003000283386,-2.47817949381908,"Cold Spot (LL)"
-5.5125,35.7875,27.289189764938,-2.69027470848543,"Cold Spot (LL)"
-5.4875,35.7875,27.1558563468336,-2.96157226800524,"Cold Spot (LL)"
-5.4625,35.7875,26.966967161246,-2.98163716394234,"Cold Spot (LL)"
-5.4375,35.7875,27.2780783995137,-2.8701807112581,"Cold Spot (LL)"
-5.4125,35.7875,27.5003004098083,-2.5593434489739,"Cold Spot (LL)"
-5.3875,35.7875,27.489189044384,-2.37701850159635,"Cold Spot (LL)"
-5.3625,35.7875,27.4669667373908,-2.39984412275523,"Cold Spot (LL)"
-5.3375,35.7875,27.4558555838941,-2.47760293635146,"Cold Spot (LL)"
-5.9375,35.7625,26.6242589643411,-3.38716692201796,"Cold Spot (LL)"
-5.9125,35.7625,26.9003006641214,-3.49461786960556,"Cold Spot (LL)"
-5.8875,35.7625,27.2114114785339,-3.0095264638073,"Cold Spot (LL)"
-5.8625,35.7625,27.455856219677,-2.55879464088164,"Cold Spot (LL)"
-5.8375,35.7625,27.6891893834682,-2.19707127521326,"Cold Spot (LL)"
-5.8125,35.7625,27.8114118600036,-1.88707565798402,"Moderate Cool"
-5.7875,35.7625,27.7891895530103,-1.76288042179405,"Moderate Cool"
-5.7625,35.7625,27.7891895530103,-1.6930693921315,"Moderate Cool"
-5.7375,35.7625,27.9225227591871,-1.74896617907426,"Moderate Cool"
-5.7125,35.7625,27.8669672036315,-1.7556014060421,"Moderate Cool"
-5.6875,35.7625,27.7225230558858,-1.73606353228923,"Moderate Cool"
-5.6625,35.7625,27.8558560501349,-1.68169799831015,"Moderate Cool"
